host_called,device_ip,device_name,stop_ok,apply_ok,ready_ok,go_ok,verify_ok
192.168.1.167,192.168.10.220,quattro,True,False,True,True,False
192.168.1.204,192.168.10.220,3B,True,True,True,True,False
